text,FE.ADEME.ID,FE.VAL,FE.Incertitude
decarbonatation fabrication de tuiles et briques,14746,40.0,0.2
decarbonatation fabrication du ciment,14742,525.0,0.05
dechet cuisine et dechets verts compostage domestique en bac ferme brasse,25824,-2635010.0,1.0
dechet cuisine et dechets verts compostage domestique en bac ferme non brasse,25825,-2478210.0,1.0
dechet cuisine et dechets verts compostage domestique en tas brasse,25822,-58794.0,1.0
dechet cuisine et dechets verts compostage domestique en tas non brasse,25823,-47874.0,1.0
dechet de jardin compostage domestique en tas brasse,25821,-37516.0,1.0
dechet du batiment beton,27077,1.22,0.2
dechet du batiment bois b,27080,5.11,0.18
dechet du batiment dechets inertes en melange,27078,5.58,0.14
dechet du batiment dechets non dangereux en melange,27079,22.0,0.19
dechet du batiment metaux,27082,4.31,0.18
dechet du batiment platre,27081,15.7,0.16
dechets alimentaires,22039,11918.0,1.0
dechets bois adjuvantes broyat crible sans sortie du statut dechet classes non dangereux,34941,0.0174,0.25
dechets bois propres broyat sortie du statut dechet crible,34940,0.0109,0.25
dechets dangereux valeur par defaut,22459,524.0,0.5
dechets de cuisine,34637,-12.0,1.0
dechets de cuisine et dechets verts,34640,9.0,1.0
dechets du batiment aluminium,34669,-7803.0,0.2
dechets du batiment beton briques tuiles et ceramiques,34684,11.0,1.0
dechets du batiment bois de classe b,34689,-24.0,1.0
dechets du batiment cuivre,34671,-1445.0,0.2
dechets du batiment dechets inertes en melange gravats,34690,9.0,1.0
dechets du batiment dechets non dangereux en melange dib,34692,23.0,1.0
dechets du batiment metaux,34672,8.0,0.2
dechets du batiment metaux ferreux,34667,-2211.0,0.2
dechets du batiment plastique rigide pe,34663,-1394.0,0.1
dechets du batiment plastique rigide pvc,34665,-1847.0,0.1
dechets du batiment platre et autres contenant du gypse,34686,65.0,1.0
dechets mineraux,22046,2930.0,1.0
dechets putrescibles,34647,-126.0,0.5
dechets verts,34644,20.0,1.0
decodeur,27020,60.9,0.5
deee deee moyen par defaut,34621,-1537.0,1.0
deee ecrans crt,34615,-530.0,0.1
deee ecrans plats,34617,-1423.0,0.1
deee gemf en fin de vie,34605,-1865.0,0.1
deee gemf mis sur le marche,34607,-1865.0,0.1
deee gemhf,34611,-1460.0,0.1
deee pam,34613,-1669.0,0.1
deee t l,34619,-755.0,0.1
dejections animales en pature bovins volaille porcins,24273,10.4,4.0
dejections animales en pature moutons et autres animaux,24274,6.01,4.0
dente cru,33801,11.0,1.0
des allumettes,41562,7.1,1.0
des allumettes rape ou hache de jambon,32757,6.34,1.0
des allumettes rape ou hache de jambon de volaille,32758,5.47,1.0
dessert au soja aux fruits,40720,0.858,1.0
dessert au soja aux fruits rayon frais,44981,1.24,1.0
dessert au soja nature,40721,0.825,1.0
dessert au soja nature rayon frais,44982,1.21,1.0
dessert au soja rayon frais,33983,1.12,1.0
dessert au soja aromatise rayon frais,40719,0.858,1.0
dessert de fruits tout type de fruits en taux de sucres comp allegees en sucres desserts comp allegee,44983,1.27,1.0
dessert de fruits tout type de fruits en taux de sucres comp allegees en sucres desserts de fruits compotes,40358,0.95,1.0
dessert de fruits tout type de fruits en taux de sucres compotes allegees en sucres desserts de fruits compotes,33017,1.21,1.0
dessert glace type sundae,32870,2.37,1.0
dessert glace feuillete a partager,32871,2.37,1.0
dessert glace type mystere ou vacherin,32869,2.37,1.0
dessert lacte infantile,32880,2.11,1.0
dessert lacte infantile au riz ou a la semoule,39764,1.57,1.0
dessert lacte infantile nature sucre ou aux fruits,39765,1.57,1.0
dessert lacte infantile type creme dessert,39766,1.57,1.0
diabolo limonade et sirop,32609,0.618,1.0
diammonium phosphate,34933,2806.0,0.3
difluoro methoxy methane,43088,136.0,0.3
dinde aile,41564,6.98,1.0
dinde aile crue,34289,5.68,1.0
dinde conventionnel,43863,2.85,1.0
dinde cuisse,41565,6.98,1.0
dinde cuisse viande et peau crue,34287,5.68,1.0
dinde cuisse viande sans peau crue,34288,4.47,1.0
dinde escalope,41568,6.82,1.0
dinde escalope viennoise ou milanaise ou escalope panee,32565,5.01,1.0
dinde escalope crue,34286,5.47,1.0
dinde escalope rotie cuite au four,34396,7.31,1.0
dinde escalope sautee poelee,34395,7.35,1.0
dinde label rouge,43864,3.92,1.0
dinde moyenne nationale,42093,4.12,1.0
dinde systeme conventionnel plaine mais ensilage a,28346,2.91,1.0
dinde systeme conventionnel plaine mais ensilage olus de,28348,2.95,1.0
dinde viande,41572,5.52,1.0
dinde viande et peau,41571,5.52,1.0
dinde viande et peau crue,34284,4.47,1.0
dinde viande crue,34285,4.47,1.0
dinde viande rotie cuite au four,34394,5.97,1.0
diot cru,32810,8.51,1.0
dioxyde de carbone,43014,1.0,0.3
dioxyde de carbone d origine chimique,20583,818.0,1.0
dioxyde de soufre liquide,20581,440.0,1.0
dipladenia conventionnel plant horticole,34810,1.19,0.3
dipladenia serre bioclimatique plant horticole,34818,0.69,0.3
dis,34712,844.0,0.2
dis dechets industriels speciaux,22457,9872.0,0.5
dodecamethylcyclohexasiloxane,43623,0.142,0.3
dodecamethylpentasiloxane,43619,0.122,0.3
dorade grise ou daurade grise,41575,6.73,1.0
dorade grise ou daurade grise ou griset crue,45002,7.48,1.0
dorade grise ou daurade grise ou griset rotie cuite au four,33885,8.25,1.0
dorade rose ou daurade rose,41577,6.73,1.0
dorade rose ou daurade rose crue,45004,7.48,1.0
dorade rose grise crue,33806,6.79,1.0
dorade royale ou daurade ou vraie daurade,41579,9.04,1.0
dorade royale ou daurade ou vraie daurade crue sauvage,33790,9.14,1.0
dorade royale ou daurade ou vraie daurade crue,41578,12.7,1.0
dorade royale ou daurade ou vraie daurade crue elevage,33795,11.9,1.0
double cheeseburger provenant de fast food,34061,15.7,1.0
dragee amande,32854,2.91,1.0
drainage gestion des sols sols des cultures organiques temperees et de prairies,24275,3549.0,4.0
drainage gestion des sols sols des forets organiques temperees,24276,246.0,4.0
dsl haut debit,27018,61.3,0.5
dulse palmaria palmata sechee ou deshydratee,39618,6.58,1.0
e r c,43089,4230.0,0.3
eau de coco nature,39798,1.12,1.0
eau de reseau,24283,0.132,0.11
eau de source embouteillee,32882,0.453,1.0
eau de source cristaline embouteillee,39866,0.268,1.0
eau de vie,39867,1.11,1.0
eau de vie de vin type armagnac,39868,1.12,1.0
eau de vie de vin type armagnac cognac,45011,1.26,1.0
eau du robinet,45012,0.000342,1.0
eau embouteillee de source,39869,0.268,1.0
eau minerale embouteillee,32883,0.28,1.0
echalote crue,33290,0.375,1.0
echalote cuite,33407,1.13,1.0
eclair,33149,4.27,1.0
ecorces sciures broyats humidite,14234,0.0044,1.0
ecran pouces,27005,222.0,0.5
ecran a cristaux liquides,24238,357.0,1.0
ecran a cristaux liquides pouces,24243,61.7,1.0
ecran lcd pouces,20597,336.0,1.0
ecran publicitaire m sans casing,28316,1083.0,0.5
ecran publicitaire m,28315,1322.0,0.5
edam,33000,6.27,1.0
commerce de gros a l exclusion des automobiles et des motocycles,43331,171.0,0.8
edulcorant a la saccharine,34194,0.846,1.0
eglefin cru,33810,11.0,1.0
eglefin cuit a la vapeur,33851,13.4,1.0
eglefin grille poele,33878,13.4,1.0
electricite mix moyen,24310,0.082,0.1
electricite usage autres btp recherche armee etc,24311,0.051,0.3
electricite usage chauffage,24312,0.218,0.3
electricite usage climatisation tertiaire,24313,0.06,0.3
electricite usage cuisson residentiel,24314,0.076,0.3
electricite usage eau chaude sanitaire,24315,0.059,0.3
electricite usage eclairage public et industrie,24316,0.094,0.3
electricite usage eclairage residentiel,24317,0.117,0.3
electricite usage industrie base,24318,0.05,0.3
electricite usage transports,24319,0.05,0.3
electricite usage eclairage public,34860,0.0784,0.3
electricite usage froid,34862,0.0758,0.3
electricite usage climatisation,34892,0.041,0.3
electricite centrale charbon,15565,1.06,0.1
electricite centrale fioul,15564,0.73,0.1
electricite centrale gaz,15563,0.418,0.1
electricite centrale nucleaire,15566,0.006,0.1
electricite eolien,15542,0.007,0.5
electricite eolien en mer,26034,0.0156,0.5
electricite eolien terrestre,26033,0.0141,0.5
electricite fournisseur british energy,15527,0.105,0.15
electricite fournisseur cez,15540,0.554,0.15
electricite fournisseur cnr,15524,0.0,0.15
electricite fournisseur dei,15533,0.993,0.15
electricite fournisseur drax,15528,0.829,0.15
electricite fournisseur edf energy,15529,0.806,0.15
electricite fournisseur edf france,15525,0.048,0.15
electricite fournisseur edison,15535,0.575,0.15
electricite fournisseur edp,15539,0.589,0.15
electricite fournisseur electrabel,15514,0.319,0.15
electricite fournisseur elsam,15515,0.436,0.15
electricite fournisseur enbw,15510,0.242,0.15
electricite fournisseur endesa,15517,0.538,0.15
electricite fournisseur endesa italia,15534,0.5,0.15
electricite fournisseur enel,15536,0.501,0.15
electricite fournisseur energi e,15516,0.677,0.15
electricite fournisseur eon,15511,0.41,0.15
electricite fournisseur eon uk,15530,0.709,0.15
electricite fournisseur essent,15538,0.474,0.15
electricite fournisseur fortum,15522,0.0559,0.15
electricite fournisseur hidrocantabrio,15518,0.872,0.15
electricite fournisseur iberdrola,15519,0.241,0.15
electricite fournisseur pvo,15523,0.126,0.15
electricite fournisseur rwe,15512,0.807,0.15
electricite fournisseur rwe uk,15531,0.679,0.15
electricite fournisseur scottish southern,15532,0.486,0.15
electricite fournisseur snet,15526,0.919,0.15
electricite fournisseur statkraft,15537,0.0,0.15
electricite fournisseur union fenosa,15520,0.549,0.15
electricite fournisseur vattenfall,15541,0.41,0.15
electricite fournisseur verbund,15513,0.131,0.15
electricite fournisseur viesgo generacion,15521,0.822,0.15
electricite geothermie,15561,0.045,0.5
electricite hydraulique,15562,0.006,0.5
electricite mensuelle,15498,0.049,0.1
electricite photovoltaique,34720,0.0439,0.3
electricite usage eclairage public et industriel,15557,0.0923,0.3
electricite usage industriel base,15558,0.0494,0.3
electricite usage residentiel autres,25839,0.065,1.0
electricite usage residentiel chauffage,25835,0.21,1.0
electricite usage residentiel climatisation,25836,0.065,1.0
electricite usage residentiel eclairage,25838,0.121,1.0
electricite usage residentiel ecs,25837,0.083,1.0
electricite usage tertiaire autres,25844,0.066,1.0
electricite usage tertiaire chauffage,25840,0.21,1.0
electricite usage tertiaire climatisation,25841,0.066,1.0
electricite usage tertiaire eclairage,25843,0.066,1.0
electricite usage tertiaire ecs,25842,0.066,1.0
electricite en europe mix moyen,15714,0.42,0.1
electricite exportee impact evite,25845,0.082,1.0
emballages acier,34462,135.0,0.2
emballages aluminium,34471,-2389.0,0.2
emballages autres plastiques et plastiques complexes,34591,-449.0,0.2
emballages bois,34597,-638.0,0.2
emballages carton,34487,-406.0,0.2
emballages ceramiques et autres inertes,34602,102.0,0.2
emballages plastique biosource pe,34531,-747.0,0.2
emballages plastique biosource pet,34499,-384.0,0.2
emballages plastique biosource pp,34557,-768.0,0.2
emballages plastique petrosource pe,34529,-747.0,0.2
emballages plastique petrosource pet,34497,-384.0,0.2
emballages plastique petrosource pp,34555,-768.0,0.2
emballages plastique rigide biosource pe autres emballages,34543,-1337.0,0.5
emballages plastique rigide biosource pe bouteilles,34541,-1387.0,0.5
emballages plastique rigide biosource pet autres emballages,34511,-889.0,0.5
emballages plastique rigide biosource pet bouteilles,34509,-1286.0,0.5
emballages plastique rigide biosource pp autres emballages,34564,-1350.0,0.5
emballages plastique rigide biosource pp bouteilles,34562,-1329.0,0.5
emballages plastique rigide pe,34519,-1394.0,0.1
emballages plastique rigide pe autres emballages,34525,-1442.0,0.2
emballages plastique rigide pe bouteilles,34523,-1442.0,0.2
emballages plastique rigide pet,34491,-1627.0,0.1
emballages plastique rigide pet autres emballages,34495,-1741.0,0.2
emballages plastique rigide pet bouteilles,34493,-1741.0,0.2
emballages plastique rigide petrosource pe autres emballages,34539,-526.0,0.2
emballages plastique rigide petrosource pe bouteilles,34537,-959.0,0.2
emballages plastique rigide petrosource pet autres emballages,34507,-282.0,0.2
emballages plastique rigide petrosource pet bouteilles,34505,-966.0,0.2
emballages plastique rigide petrosource pp autres emballages,34572,-539.0,0.2
emballages plastique rigide petrosource pp bouteilles,34570,-901.0,0.2
emballages plastique rigide pp,34549,-1598.0,0.1
emballages plastique rigide pp autres emballages,34553,-1306.0,0.2
emballages plastique rigide pp bouteilles,34551,-1306.0,0.2
emballages plastique rigide ps pse,34579,-486.0,0.2
emballages plastique rigide pvc,34585,-206.0,0.2
emballages plastique souple pe,34527,-1128.0,0.2
emballages plastique souple pe biosource,34547,-1334.0,0.5
emballages plastique souple pe petrosource,34545,-523.0,0.2
emballages plastique souple pet biosource,34515,-878.0,0.5
emballages plastique souple pet petrosource,34513,-265.0,0.2
emballages plastique souple pp biosource,34568,-1350.0,0.5
emballages plastique souple pp petrosource,34566,-530.0,0.2
emballages verre,34479,-849.0,0.2
emissions evitees carton fin de vie compost,22035,-26.0,1.0
emissions evitees carton fin de vie incineration,22034,-289.0,1.0
emissions evitees carton fin de vie moyenne,22036,-23.1,1.0
emissions evitees carton fin de vie stockage,22033,-22.9,1.0
emissions evitees dechets alimentaires fin de vie compost industriel,22043,-26.0,1.0
emissions evitees dechets alimentaires fin de vie incineration,22042,-97.3,1.0
emissions evitees dechets alimentaires fin de vie moyenne,22044,-40.3,1.0
emissions evitees dechets alimentaires fin de vie stockage,22041,-14.8,1.0
emissions evitees ordures menageres fin de vie compost,22069,-26.0,1.0
emissions evitees ordures menageres fin de vie incineration,22068,-164.0,1.0
emissions evitees ordures menageres fin de vie moyenne,22070,-94.7,1.0
emissions evitees ordures menageres fin de vie stockage,22067,-9.84,1.0
emissions evitees papier fin de vie compost,22027,-26.0,1.0
emissions evitees papier fin de vie incineration,22026,-267.0,1.0
emissions evitees papier fin de vie moyenne,22028,-43.3,1.0
emissions evitees papier fin de vie stockage,22025,-23.8,1.0
emissions evitees plastique moyen fin de vie incineration,22051,-626.0,1.0
emissions evitees plastique moyen fin de vie moyenne,22052,-200.0,1.0
emissions evitees plastique pe fin de vie incineration,22054,-768.0,1.0
emissions evitees plastique pet fin de vie incineration,22056,-417.0,1.0
emissions evitees plastique pp fin de vie incineration,22062,-575.0,1.0
emissions evitees plastique ps fin de vie incineration,22058,-519.0,1.0
emissions evitees plastique pvc fin de vie incineration,22060,-235.0,1.0
emmental ou emmenthal,32991,6.27,1.0
emmental ou emmenthal rape,40724,6.22,1.0
empereur filet,41583,10.8,1.0
empereur filet sans peau cru,33841,11.0,1.0
enceinte active bluetooth,27017,8.98,0.5
enceinte a commande vocale,28314,30.7,0.5
encre couleur impression offset,20637,1870.0,1.0
encre d imprimerie en solution toluene,20638,2750.0,1.0
endive conventionnelle moyenne nationale,43868,0.307,1.0
endive conventionnelle precoce,43865,0.321,1.0
endive conventionnelle saison,43866,0.247,1.0
endive conventionnelle tardive,43867,0.36,1.0
endive crue,33259,0.795,1.0
endive de saison,28787,0.539,1.0
endive la saison,42340,0.627,1.0
endive mix conventionnel et biologique,42098,0.387,1.0
endive paturage biologique systeme n,28507,0.355,1.0
endive paturage d ete et paturage ferme biologique systeme n,28514,0.202,1.0
endive prairie permanente biologique systeme n,28508,0.0744,1.0
endive saison,42341,0.393,1.0
endive au jambon,33699,3.45,1.0
engrais azote moyen,20869,3064.0,0.3
engrais binaire nk,20867,449.0,0.3
engrais binaire np,20868,4301.0,0.3
engrais binaire pk,20865,449.0,0.3
engrais phosphate moyen,20870,633.0,0.3
engrais potassique moyen,20871,534.0,0.3
engrais ternaire,20863,468.0,0.3
enrobe a module eleve,20706,55.1,0.2
enrobe tiede,20707,52.8,0.2
enrobes bitumineux,20705,53.3,0.2
enrobes bitumineux a froid,20708,36.2,0.2
enrobes bitumineux avec rec,20713,51.1,0.2
ensemble articule benne cerealiere ptra t,21047,1.39,0.7
ensemble articule benne tp ptra t,21048,0.117,0.7
ensemble articule chassis porte conteneur ptra t,21045,0.103,0.7
ensemble articule citerne ptra t,21044,0.0983,0.7
ensemble articule demenagement m,21070,1.19,0.7
ensemble articule groupe froid ptra t,21050,0.111,0.7
ensemble articule marchandises diverses longue distance ptra t,21055,1.19,0.6
ensemble articule marchandises diverses regional ptra t,21054,0.0946,0.6
ensemble articule messagerie frigorifique traction ptra t,21062,0.203,0.7
ensemble articule messagerie traction ptra t,21064,0.199,0.7
ensemble articule porte voitures ptra t,21056,1.32,0.7
ensilage d herbe de l association de cultures biologique systeme n,28484,0.199,1.0
ensillage d herde prairie temporaire,42345,0.302,1.0
ensillage d herde prairie temporaire biologique systeme numero,44093,0.109,1.0
ensillage de mais biologique,42343,0.184,1.0
ensillage de mais biologique moyenne nationale suisse,44090,0.177,1.0
entremets type opera,33131,6.66,1.0
constructions et travaux de construction,43336,296.0,0.8
epandage d engrais mineraux,24270,5.73,4.0
epandage d engrais organiques dejections animales vegetaux compost boues de station d epuration,24271,6.01,4.0
epaule de porc,32755,6.34,1.0
epaule de porc cuite,41584,7.1,1.0
epaule de porc cuite choix decouennee degraissee,45028,7.65,1.0
epaule de porc cuite standard decouennee degraissee,45029,7.65,1.0
epautre biologique,44097,0.662,1.0
epeautre cru,33563,0.872,1.0
eperlan cru,33792,1.94,1.0
epinard appertise,40362,0.882,1.0
epinard appertise egoutte,33370,1.19,1.0
epinard cru,33274,0.326,1.0
epinard cuit,33357,0.917,1.0
epinard jeunes pousses pour salades,40365,0.392,1.0
epinard jeunes pousses pour salades cru,45035,0.423,1.0
epinard puree,33419,0.833,1.0
epinard surgele,40367,0.753,1.0
epinard surgele cru,33283,0.841,1.0
epinard surgele cuit,33386,1.07,1.0
epinards a la creme,33696,3.37,1.0
epoisses,32959,5.49,1.0
equitation bombe,20758,2.6,0.35
equitation cravache,20898,2.4,0.6
equitation harnais,20760,24.0,0.6
equitation pantalon,20756,4.0,0.25
equitation selle,20759,160.0,0.6
equitation veste,20757,4.0,0.25
escalope panee soja ble et fromage type cordon bleu preemballee,45041,2.74,1.0
escalope vegetale ou steak a base de soja,39995,1.84,1.0
escargot en sauce au beurre persille cuit,33948,4.18,1.0
escrime epee,20901,2.2,0.3
escrime fleuret,20899,1.6,0.3
escrime masque,20787,7.7,0.3
escrime pantalon,20902,6.4,0.3
escrime sabre,20900,1.6,0.3
escrime un metre de fil conducteur diam mm,20786,0.02,0.15
espadon cru,33791,4.24,1.0
espadon roti cuit au four,33875,5.15,1.0
essence,14001,2.79,0.1
essence e,13988,2.69,0.1
essence supercarburant sans plomb e,25760,3553.0,0.05
essence a la pompe sp sp,13895,0.308,0.05
essence aviation avgas,13880,3.76,0.05
estragon frais,39619,0.691,1.0
etablissement d enseignement structure en beton,20738,440.0,0.5
etablissement de sante structure en beton,20739,440.0,0.5
ethane,43624,0.437,0.3
ethanol rectifie d origine viti vinicole,20578,1830.0,0.5
ethenyl trifluoroacetate,43090,0.01,0.3
ethyl trifluoroacetate,43091,1.58,0.3
ethyl methyl ether,43092,0.01,0.3
etiquettes papier imprime,20647,2930.0,0.5
fabrication d un vehicule,20785,7643.0,0.2
faisan viande,41590,8.85,1.0
faisan viande rotie cuite au four,34397,7.09,1.0
faisselle mg environ,34019,5.43,1.0
fajitas,33626,1.98,1.0
falafel ou boulette de pois chiche et ou feve frite,33706,0.857,1.0
falafel ou boulette de pois chiche et ou feve preemballe,45050,1.44,1.0
far aux pruneaux,33142,1.96,1.0
farine d epeautre grand epeautre,32906,0.884,1.0
farine d orge,32912,0.902,1.0
farine de ble tendre ou froment,32905,0.507,1.0
farine de ble tendre ou froment avec levure incorporee,41103,0.72,1.0
farine de ble tendre ou froment t,41104,0.72,1.0
farine de ble tendre ou froment t pour patisserie,41106,0.72,1.0
farine de ble tendre ou froment t pour pains,41107,0.72,1.0
farine de chataigne,33098,2.29,1.0
farine de mais,32911,0.591,1.0
farine de millet,32913,1.04,1.0
farine de pois chiche,32914,0.804,1.0
farine de riz,32908,2.42,1.0
farine de sarrasin,32910,0.884,1.0
farine de seigle,32909,0.8,1.0
farine de seigle t,41115,0.647,1.0
farine de soja,32915,4.47,1.0
fenouil bouilli cuit a l eau,33385,1.76,1.0
fenouil cru,33260,0.972,1.0
fenouil graine,32898,1.17,1.0
fenugrec graine,32901,0.45,1.0
ferry de jour passagers,21856,0.978,0.6
ferry de jour voitures,21854,0.263,0.6
ferry de jour,21437,0.0506,0.6
ferry de nuit passagers,21860,0.524,0.6
ferry de nuit voitures,21858,0.465,0.6
ferry de nuit,21439,0.0878,0.6
feta de brebis,32943,5.98,1.0
feuillete au poisson et ou fruits de mer,32930,5.56,1.0
feuillete aux escargots,32932,1.38,1.0
feuillete ou friand jambon fromage poisson fruits de mer escargots,32941,6.64,1.0
feuillete ou friand a la viande,32934,17.0,1.0
feuillete ou friand au fromage,32933,5.49,1.0
feuillete ou friand jambon fromage,32940,6.64,1.0
feve cuite,33425,0.442,1.0
feve fraiche,40374,0.505,1.0
feve fraiche surgelee,33444,0.487,1.0
feve pelee,40375,1.15,1.0
feve pelee surgelee crue,33446,1.12,1.0
feve pelee surgelee cuite a l eau,33439,0.487,1.0
feve seche,33450,0.969,1.0
feve surgelee,40378,0.505,1.0
feve surgelee cuite a l eau,33440,0.487,1.0
feve a ecosser fraiche,33441,0.969,1.0
feverole bsbrieuc dredge moyenne,28439,0.175,1.0
feverole conventionnel,42099,0.296,1.0
feverole conventionnel moyenne nationale,43869,0.303,1.0
feverole conventionnel protection integree,43870,0.3,1.0
feverole mer celtique chalut de fond moyenne,28438,0.178,1.0
feverole d hiver association de cultures,42360,0.372,1.0
feverole d hiver association de cultures biologique systeme numero,44109,0.384,1.0
feverole d hiver biologique,42363,0.6,1.0
feverole d hiver biologique systeme n,28719,1.04,1.0
feverole d hiver biologique systeme numero,44104,1.89,1.0
feverole d hiver prairie permanente biologique,28721,1.02,1.0
feverole d hiver et ble d hiver associes biologique,42357,0.35,1.0
feverole d hiver et ble d hiver associes biologique systeme numero,44111,0.386,1.0
feverole d hiver et ble d hiver associes de l association de cultures biologique,28694,0.935,1.0
feverole d hiver et de ble d hiverassocies biologique,42358,0.389,1.0
feverole d hiver et de ble d hiverassocies biologique systeme numero,44112,0.623,1.0
feverole d hiver et de ble d hiverassocies de l association de cultures biologique,28693,0.928,1.0
feverole d hiver et orge d hiver associes biologique systeme n,28692,0.946,1.0
feverole d hiver et orge d hiver associes le systeme biologique,42359,0.35,1.0
feverole d hiver et orge d hiver associes le systeme biologique numero,44113,0.369,1.0
feverole de printemps association de cultures,42353,0.388,1.0
feverole de printemps association de cultures biologique systeme numero,44100,0.395,1.0
feverole de printemps biologique,42355,0.591,1.0
feverole de printemps biologique systeme n,28716,2.46,1.0
feverole de printemps biologique systeme numero,44099,1.2,1.0
feverole de printemps et ble de printemps associes de l association de cultures biologique,28689,0.971,1.0
feverole de printemps et ble de printemps associes le systeme biologique,42351,0.364,1.0
feverole de printemps et ble de printemps associes le systeme biologique numero,44102,0.397,1.0
feverole de printemps et orge de printemps associes biologique,42352,0.364,1.0
feverole de printemps et orge de printemps associes biologique systeme numero,44103,0.41,1.0
feverole de printemps et orge de printemps associes de l association de cultures biologique,28688,0.984,1.0
fibre de verre,20546,2.13,0.2
fibres de chanvre appertise,43871,0.367,1.0
fibres de chanvre conventionnel d humidite pour alimentation animale,28382,0.299,1.0
fibres de chanvre fr u,42101,0.369,1.0
ficelle picarde,33651,7.08,1.0
figue crue,33043,0.577,1.0
figue seche,33092,1.7,1.0
figue de barbarie pulpe et graines,40379,0.366,1.0
figue de barbarie pulpe et graines crue,33068,0.253,1.0
fil de palissage inox neuf,20643,5250.0,1.0
fil de palissage inox recycle,20641,4600.0,1.0
filet de bacon,32751,6.36,1.0
films plastiques pet pas recyclable neuf,20835,5500.0,0.2
films plastiques pet pas recyclable recycle,20842,2460.0,0.2
finition post tannage du cuir,24256,2.38,1.0
fioul a base de carbone recycle valortec,28287,3.22,0.22
fioul domestique,13899,0.33,0.05
fioul domestique combustion en chaudiere,25827,0.314,1.0
fioul lourd commercial,13909,0.328,0.05
flammenkueche ou tarte flambee aux lardons,33637,2.61,1.0
flan aux oeufs rayon frais,33996,2.33,1.0
flan aux ufs rayon frais,40728,1.77,1.0
flan de legumes,33689,2.1,1.0
flan patissier aux oeufs ou a la parisienne,33160,2.35,1.0
fletan de l atlantique ou fletan blanc cru,33769,4.24,1.0
fletan du groenland ou fletan noir ou fletan commun cru,33820,11.0,1.0
fletan du groenland ou fletan noir ou fletan commun cuit a la vapeur,33890,13.4,1.0
fleur de sel non iodee non fluoree,39622,0.606,1.0
flocon d avoine,32904,1.3,1.0
flocon d avoine precuit,32712,1.49,1.0
flocons d avoine bouillis cuits a l eau,32706,1.11,1.0
florentin biscuit sec sucre chocolate aux amandes,32675,4.44,1.0
fluroxene,43093,0.06,0.3
focaccia garnie,34055,3.02,1.0
foie agneau,41595,21.6,1.0
foie agneau cru,34206,25.9,1.0
foie agneau cuit,34326,35.5,1.0
foie canard,41597,1.84,1.0
foie canard cru,34215,1.56,1.0
foie dinde,41598,1.84,1.0
foie dinde cru,34212,1.56,1.0
foie dinde cuit,34331,2.21,1.0
foie genisse,41600,22.1,1.0
foie genisse cru,34207,26.8,1.0
foie genisse cuit,34327,36.8,1.0
foie lapin,41602,1.84,1.0
foie lapin cru,34210,1.56,1.0
foie oie,41603,1.84,1.0
foie oie cru,34214,1.56,1.0
foie porc,41604,2.1,1.0
foie porc cru,34213,1.9,1.0
foie porc cuit,34329,2.66,1.0
foie poulet,41606,1.84,1.0
foie poulet cru,34211,1.56,1.0
foie poulet cuit,34330,2.21,1.0
foie veau,41608,17.8,1.0
foie veau cru,34208,19.4,1.0
foie veau cuit,34328,26.6,1.0
foie volaille,41610,1.84,1.0
foie volaille cru,34209,1.56,1.0
foie gras en bloc,45106,24.7,1.0
foie gras entier,45107,28.9,1.0
foin emballe biologique aliments pour animaux,28753,0.147,1.0
foin emballe biologique basse normandie,28758,0.0833,1.0
foin emballe biologique moyenne nationale suisse,28754,0.0851,1.0
foin emballe biologique systeme n,28756,0.146,1.0
foin emballe hiver conventionnel,28759,0.118,1.0
foin emballe prairie temporaire biologique,28749,0.173,1.0
fondue de poireau,33390,3.78,1.0
fondue savoyarde fromages vin pain,33686,3.72,1.0
fongicide moyen,20563,6.1,0.5
fontina,32994,5.49,1.0
forets fermees conifere,27772,-4120.0,0.5
forets fermees feuillu,27774,-4710.0,0.5
forets fermees mixte,27776,-5540.0,0.5
forets fermees total,27778,-4760.0,0.5
forets fermees toutes compositions,27851,-4260.0,0.5
forets fermees et ouvertes conifere,27773,-4120.0,0.5
forets fermees et ouvertes feuillu,27775,-4690.0,0.5
forets fermees et ouvertes mixte,27777,-5540.0,0.5
forets fermees et ouvertes total,27779,-4760.0,0.5
forets fermees et ouvertes toutes compositions,27852,-4160.0,0.5
formic acid hexafluoropropan ol,43094,269.0,0.3
fougasse garnie,34056,1.02,1.0
four electrique encastrable,26986,217.0,0.3
four professionnel,26998,865.0,0.3
fourgon m,28048,0.191,0.7
fourgon demenagement m,21027,0.205,0.7
fourme d ambert,32983,5.49,1.0
fourme de montbrison,32981,5.49,1.0
fraise conventionnel calibre inermediaire,28542,0.852,1.0
fraise conventionnel calibre intermediaire,28541,0.466,1.0
fraise conventionnel serre ancienne gaz naturel sans recyclage des drainage,28540,0.166,1.0
fraise conventionnel serre recente energie fatale et gaz naturel avec recyclage des drainages,28539,1.04,1.0
fraise conventionnelle hors sol sous abri anti gel,43876,0.876,1.0
fraise conventionnelle hors sol sous abri chauffe,43877,3.14,1.0
fraise conventionnelle hors sol sous abri non chauffe,43878,0.721,1.0
fraise conventionnelle moyenne nationale,43872,1.08,1.0
fraise conventionnelle plein champ,43879,0.178,1.0
fraise crue,33046,0.525,1.0
fraise de saison crue,45131,0.511,1.0
fraise hors saison crue,45132,0.592,1.0
fraise industrie plein champ conventionnel,43873,0.24,1.0
fraise mix conventionnel et biologique sous abri,28543,3.01,1.0
