Nomenclature achat;"Famille d'achat
(N-0)";"Domaines d'achat
(N-1)";"Catégories d'achat
(N-2)";"Segments  d'achat
(N-3)";Sous-segment;Produit élémentaire;"Code des Catégories Homogènes 
de fournitures et prestations"
DA68AA98;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;DISSECTION ENDOSCOPIQUE TRACTUS DIGESTIF;DISSECTION ENDOSCOPIQUE CONSOMMABLE;DISSECTION ENDOSCOPIQUE TRACTUS DIGESTIF INSTRUMENT;ACCESSOIRE DISSECTION ENDOSCOPIQUE COMPLEMENT;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA68AA99;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;DISSECTION ENDOSCOPIQUE TRACTUS DIGESTIF;DISSECTION ENDOSCOPIQUE CONSOMMABLE;DISSECTION ENDOSCOPIQUE TRACTUS DIGESTIF INSTRUMENT;INSTRUMENT DISSECTION ENDOSCOPIQUE AUTRE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA70AA01;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF OBESITE;CHIRURGIE OBESITE RESTRICTION;CHIRURGIE OBESITE ANNEAU GASTROPLASTIE;ANNEAU GASTROPLASTIE STANDARD;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA70AA02;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF OBESITE;CHIRURGIE OBESITE RESTRICTION;CHIRURGIE OBESITE ANNEAU GASTROPLASTIE;ANNEAU GASTROPLASTIE VERTICALE CALIBREE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA70AA98;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF OBESITE;CHIRURGIE OBESITE RESTRICTION;CHIRURGIE OBESITE ANNEAU GASTROPLASTIE;CHIRURGIE OBESITE ANNEAU GASTROPLASTIE COMPLEMENT;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA70AB01;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF OBESITE;CHIRURGIE OBESITE RESTRICTION;CHIRURGIE OBESITE BALLON GASTRIQUE;BALLON GASTRIQUE A EAU;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA70AB02;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF OBESITE;CHIRURGIE OBESITE RESTRICTION;CHIRURGIE OBESITE BALLON GASTRIQUE;BALLON GASTRIQUE A AIR;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA70AZ99;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;TRACTUS DIGESTIF OBESITE;CHIRURGIE OBESITE RESTRICTION;CHIRURGIE OBESITE AUTRE;CHIRURGIE OBESITE AUTRE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA80AA01;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;ACCESSOIRE TRACTUS DIGESTIF ET METABOLISME;ACCESSOIRE ALIMENTATION BEBE;RECIPIENT ALIMENTAIRE BEBE;BIBERON;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA80AA02;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;ACCESSOIRE TRACTUS DIGESTIF ET METABOLISME;ACCESSOIRE ALIMENTATION BEBE;RECIPIENT ALIMENTAIRE BEBE;TETINE BIBERON;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA80AA98;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;ACCESSOIRE TRACTUS DIGESTIF ET METABOLISME;ACCESSOIRE ALIMENTATION BEBE;RECIPIENT ALIMENTAIRE BEBE;RECIPIENT ALIMENTAIRE COMPLEMENT;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA80AA99;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;ACCESSOIRE TRACTUS DIGESTIF ET METABOLISME;ACCESSOIRE ALIMENTATION BEBE;RECIPIENT ALIMENTAIRE BEBE;RECIPIENT ALIMENTAIRE BEBE AUTRE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA80AB01;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;ACCESSOIRE TRACTUS DIGESTIF ET METABOLISME;ACCESSOIRE ALIMENTATION BEBE;NETTOYAGE RECIPIENT ALIMENTAIRE BEBE;GOUPILLON BIBERON;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA80AB02;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;ACCESSOIRE TRACTUS DIGESTIF ET METABOLISME;ACCESSOIRE ALIMENTATION BEBE;NETTOYAGE RECIPIENT ALIMENTAIRE BEBE;DESINFECTION BIBERON;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA80AB03;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;ACCESSOIRE TRACTUS DIGESTIF ET METABOLISME;ACCESSOIRE ALIMENTATION BEBE;NETTOYAGE RECIPIENT ALIMENTAIRE BEBE;SYSTEME STERILISATION VAPEUR D'EAU  BIBERON;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA80AB98;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;ACCESSOIRE TRACTUS DIGESTIF ET METABOLISME;ACCESSOIRE ALIMENTATION BEBE;NETTOYAGE RECIPIENT ALIMENTAIRE BEBE;NETTOYAGE RECIPIENT ALIMENTAIRE BEBE COMPLEMENT;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA80AB99;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;ACCESSOIRE TRACTUS DIGESTIF ET METABOLISME;ACCESSOIRE ALIMENTATION BEBE;NETTOYAGE RECIPIENT ALIMENTAIRE BEBE;NETTOYAGE RECIPIENT ALIMENTAIRE BEBE AUTRE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA80AC01;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;ACCESSOIRE TRACTUS DIGESTIF ET METABOLISME;ACCESSOIRE ALIMENTATION BEBE;CHAUFFAGE RECIPIENT ALIMENTAIRE BEBE;CHAUFFE BIBERON;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA80AC02;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;ACCESSOIRE TRACTUS DIGESTIF ET METABOLISME;ACCESSOIRE ALIMENTATION BEBE;CHAUFFAGE RECIPIENT ALIMENTAIRE BEBE;THERMOS BIBERON;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA80AC98;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;ACCESSOIRE TRACTUS DIGESTIF ET METABOLISME;ACCESSOIRE ALIMENTATION BEBE;CHAUFFAGE RECIPIENT ALIMENTAIRE BEBE;CHAUFFAGE RECIPIENT ALIMENTAIRE BEBE COMPLEMENT;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA80AC99;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;ACCESSOIRE TRACTUS DIGESTIF ET METABOLISME;ACCESSOIRE ALIMENTATION BEBE;CHAUFFAGE RECIPIENT ALIMENTAIRE BEBE;CHAUFFAGE RECIPIENT ALIMENTAIRE BEBE AUTRE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DA80AZ99;DISPOSITIFS MEDICAUX;TRACTUS DIGESTIF ET METABOLISME;ACCESSOIRE TRACTUS DIGESTIF ET METABOLISME;ACCESSOIRE ALIMENTATION BEBE;ACCESSOIRE ALIMENTATION BEBE AUTRE;ACCESSOIRE ALIMENTATION BEBE AUTRE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR ABORD DIGESTIF
DB50AA01;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;TRAITEMENT DU SANG;REDUCTION CAILLOT;CATHETER THROMBOLYSE/ FIBRINOLYSE;CATHETER THROMBOLYSE/ FIBRINOLYSE SIMPLE COURANT;DISPOSITIFS MEDICAUX CONSOMMABLES D'EPURATION DES MILIEUX BIOLOGIQUES
DB50AA02;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;TRAITEMENT DU SANG;REDUCTION CAILLOT;CATHETER THROMBOLYSE/ FIBRINOLYSE;CATHETER THROMBOLYSE/ FIBRINOLYSE DOUBLE COURANT;DISPOSITIFS MEDICAUX CONSOMMABLES D'EPURATION DES MILIEUX BIOLOGIQUES
DB50BA01;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;TRAITEMENT DU SANG;DIALYSE PERITONEALE;CATHETER DIALYSE PERITONEALE;CATHETER DIALYSE PERITONEALE SIMPLE LUMIERE;DISPOSITIFS MEDICAUX CONSOMMABLES D'EPURATION DES MILIEUX BIOLOGIQUES
DB50BA02;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;TRAITEMENT DU SANG;DIALYSE PERITONEALE;CATHETER DIALYSE PERITONEALE;CATHETER DIALYSE PERITONEALE DOUBLE LUMIERE;DISPOSITIFS MEDICAUX CONSOMMABLES D'EPURATION DES MILIEUX BIOLOGIQUES
DB50BB01;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;TRAITEMENT DU SANG;DIALYSE PERITONEALE;DIALYSE PERITONEALE ACCESSOIRE;DIALYSE PERITONEALE ACCESSOIRE;DISPOSITIFS MEDICAUX CONSOMMABLES D'EPURATION DES MILIEUX BIOLOGIQUES
DB50CA01;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;TRAITEMENT DU SANG;HEMODIALYSE;CATHETER HEMODIALYSE;CATHETER HEMODIALYSE JUGULAIRE;DISPOSITIFS MEDICAUX CONSOMMABLES D'EPURATION DES MILIEUX BIOLOGIQUES
DB50CA02;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;TRAITEMENT DU SANG;HEMODIALYSE;CATHETER HEMODIALYSE;CATHETER HEMODIALYSE SOUSCLAVIERE;DISPOSITIFS MEDICAUX CONSOMMABLES D'EPURATION DES MILIEUX BIOLOGIQUES
DB50CA03;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;TRAITEMENT DU SANG;HEMODIALYSE;CATHETER HEMODIALYSE;CATHETER HEMODIALYSE FEMORALE;DISPOSITIFS MEDICAUX CONSOMMABLES D'EPURATION DES MILIEUX BIOLOGIQUES
DB50CA98;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;TRAITEMENT DU SANG;HEMODIALYSE;CATHETER HEMODIALYSE;CATHETER HEMODIALYSE COMPLEMENT;DISPOSITIFS MEDICAUX CONSOMMABLES D'EPURATION DES MILIEUX BIOLOGIQUES
DB50CA99;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;TRAITEMENT DU SANG;HEMODIALYSE;CATHETER HEMODIALYSE;CATHETER HEMODIALYSE AUTRE;DISPOSITIFS MEDICAUX CONSOMMABLES D'EPURATION DES MILIEUX BIOLOGIQUES
DB50CB01;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;TRAITEMENT DU SANG;HEMODIALYSE;AIGUILLE FISTULE;AIGUILLE FISTULE FIXE;DISPOSITIFS MEDICAUX CONSOMMABLES D'EPURATION DES MILIEUX BIOLOGIQUES
DB50CB02;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;TRAITEMENT DU SANG;HEMODIALYSE;AIGUILLE FISTULE;AIGUILLE FISTULE ROTATIVE;DISPOSITIFS MEDICAUX CONSOMMABLES D'EPURATION DES MILIEUX BIOLOGIQUES
DB50CC01;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;TRAITEMENT DU SANG;HEMODIALYSE;HEMODIALYSEUR;HEMODIALYSEUR PLAQUES;DISPOSITIFS MEDICAUX CONSOMMABLES D'EPURATION DES MILIEUX BIOLOGIQUES
DB50CC02;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;TRAITEMENT DU SANG;HEMODIALYSE;HEMODIALYSEUR;HEMODIALYSEUR CAPILLAIRE;DISPOSITIFS MEDICAUX CONSOMMABLES D'EPURATION DES MILIEUX BIOLOGIQUES
DB50CC99;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;TRAITEMENT DU SANG;HEMODIALYSE;HEMODIALYSEUR;HEMODIALYSEUR AUTRE;DISPOSITIFS MEDICAUX CONSOMMABLES D'EPURATION DES MILIEUX BIOLOGIQUES
DB50CD01;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;TRAITEMENT DU SANG;HEMODIALYSE;LIGNE HEMODIALYSE;LIGNE ARTERIELLE HEMODIALYSE;DISPOSITIFS MEDICAUX CONSOMMABLES D'EPURATION DES MILIEUX BIOLOGIQUES
DB50CD02;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;TRAITEMENT DU SANG;HEMODIALYSE;LIGNE HEMODIALYSE;LIGNE VEINEUSE HEMODIALYSE;DISPOSITIFS MEDICAUX CONSOMMABLES D'EPURATION DES MILIEUX BIOLOGIQUES
DB50CD03;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;TRAITEMENT DU SANG;HEMODIALYSE;LIGNE HEMODIALYSE;CASSETTE LIGNE HEMODIALYSE;DISPOSITIFS MEDICAUX CONSOMMABLES D'EPURATION DES MILIEUX BIOLOGIQUES
DB50CD99;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;TRAITEMENT DU SANG;HEMODIALYSE;LIGNE HEMODIALYSE;LIGNE HEMODIALYSE AUTRE;DISPOSITIFS MEDICAUX CONSOMMABLES D'EPURATION DES MILIEUX BIOLOGIQUES
DB50CE01;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;TRAITEMENT DU SANG;HEMODIALYSE;ACCESSOIRE HEMODIALYSE;ACCESSOIRE HEMODIALYSE;DISPOSITIFS MEDICAUX CONSOMMABLES D'EPURATION DES MILIEUX BIOLOGIQUES
DB50CF01;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;TRAITEMENT DU SANG;HEMODIALYSE;SET SOIN HEMODIALYSE;SET BRANCHEMENT HEMODIALYSE;DISPOSITIFS MEDICAUX CONSOMMABLES D'EPURATION DES MILIEUX BIOLOGIQUES
DB50CF02;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;TRAITEMENT DU SANG;HEMODIALYSE;SET SOIN HEMODIALYSE;SET DEBRANCHEMENT HEMODIALYSE;DISPOSITIFS MEDICAUX CONSOMMABLES D'EPURATION DES MILIEUX BIOLOGIQUES
DB50CF03;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;TRAITEMENT DU SANG;HEMODIALYSE;SET SOIN HEMODIALYSE;SET FISTULE HEMODIALYSE;DISPOSITIFS MEDICAUX CONSOMMABLES D'EPURATION DES MILIEUX BIOLOGIQUES
DB50CF99;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;TRAITEMENT DU SANG;HEMODIALYSE;SET SOIN HEMODIALYSE;SET SOIN HEMODIALYSE AUTRE;DISPOSITIFS MEDICAUX CONSOMMABLES D'EPURATION DES MILIEUX BIOLOGIQUES
DB50CG01;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;TRAITEMENT DU SANG;HEMODIALYSE;POCHE HEMODIALYSE;POCHE HEMODIALYSE RECUPERATION;DISPOSITIFS MEDICAUX CONSOMMABLES D'EPURATION DES MILIEUX BIOLOGIQUES
DB50CG02;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;TRAITEMENT DU SANG;HEMODIALYSE;POCHE HEMODIALYSE;POCHE HEMODIALYSE AMORCAGE ET RESTITUTION;DISPOSITIFS MEDICAUX CONSOMMABLES D'EPURATION DES MILIEUX BIOLOGIQUES
DB50CG99;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;TRAITEMENT DU SANG;HEMODIALYSE;POCHE HEMODIALYSE;POCHE HEMODIALYSE AUTRE;DISPOSITIFS MEDICAUX CONSOMMABLES D'EPURATION DES MILIEUX BIOLOGIQUES
DB50CH01;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;TRAITEMENT DU SANG;HEMODIALYSE;SOLUTION HEMODIALYSE;SOLUTION CONCENTRE POUR HEMODIALYSE;DISPOSITIFS MEDICAUX CONSOMMABLES D'EPURATION DES MILIEUX BIOLOGIQUES
DB50CH99;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;TRAITEMENT DU SANG;HEMODIALYSE;SOLUTION HEMODIALYSE;SOLUTION HEMODIALYSE AUTRE;DISPOSITIFS MEDICAUX CONSOMMABLES D'EPURATION DES MILIEUX BIOLOGIQUES
DB50CZ99;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;TRAITEMENT DU SANG;HEMODIALYSE;HEMODIALYSE AUTRE;HEMODIALYSE AUTRE;DISPOSITIFS MEDICAUX CONSOMMABLES D'EPURATION DES MILIEUX BIOLOGIQUES
DB50DA02;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;TRAITEMENT DU SANG;TRANSFUSION;FILTRE TRAITEMENT DU SANG (TRANSFUSION);FILTRE A DELEUCOCYTER GLOBULES ROUGES;DISPOSITIFS MEDICAUX CONSOMMABLES D'EPURATION DES MILIEUX BIOLOGIQUES
DB50DA04;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;TRAITEMENT DU SANG;TRANSFUSION;FILTRE TRAITEMENT DU SANG (TRANSFUSION);FILTRE A DELEUCOCYTER PLAQUETTES;DISPOSITIFS MEDICAUX CONSOMMABLES D'EPURATION DES MILIEUX BIOLOGIQUES
DB50DB01;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;TRAITEMENT DU SANG;TRANSFUSION;POCHE TRANSFERT TRAITEMENT DU SANG (TRANSFUSION);POCHE TRANSFERT CONSERVATION 5 JOURS;DISPOSITIFS MEDICAUX CONSOMMABLES D'EPURATION DES MILIEUX BIOLOGIQUES
DB50DB02;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;TRAITEMENT DU SANG;TRANSFUSION;POCHE TRANSFERT TRAITEMENT DU SANG (TRANSFUSION);POCHE TRANSFERT TRAITEMENT DU SANG (TRANSFUSION);DISPOSITIFS MEDICAUX CONSOMMABLES D'EPURATION DES MILIEUX BIOLOGIQUES
DB50EA01;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;TRAITEMENT DU SANG;HEMOFILTRATION;LIGNE HEMOFILTRATION;LIGNE ARTERIELLE HEMOFILTRATION;DISPOSITIFS MEDICAUX CONSOMMABLES D'EPURATION DES MILIEUX BIOLOGIQUES
DB50EA02;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;TRAITEMENT DU SANG;HEMOFILTRATION;LIGNE HEMOFILTRATION;LIGNE VEINEUSE HEMOFILTRATION;DISPOSITIFS MEDICAUX CONSOMMABLES D'EPURATION DES MILIEUX BIOLOGIQUES
DB50EB01;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;TRAITEMENT DU SANG;HEMOFILTRATION;FILTRE HEMOFILTRATION;FILTRE HEMOFILTRATION;DISPOSITIFS MEDICAUX CONSOMMABLES D'EPURATION DES MILIEUX BIOLOGIQUES
DB50EC01;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;TRAITEMENT DU SANG;HEMOFILTRATION;CATHETER HEMOFILTRATION;CATHETER HEMOFILTRATION SIMPLE LUMIERE;DISPOSITIFS MEDICAUX CONSOMMABLES D'EPURATION DES MILIEUX BIOLOGIQUES
DB50EC02;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;TRAITEMENT DU SANG;HEMOFILTRATION;CATHETER HEMOFILTRATION;CATHETER HEMOFILTRATION DOUBLE LUMIERE;DISPOSITIFS MEDICAUX CONSOMMABLES D'EPURATION DES MILIEUX BIOLOGIQUES
DB50ED01;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;TRAITEMENT DU SANG;HEMOFILTRATION;SET HEMOFILTRATION;SET HEMOFILTRATION;DISPOSITIFS MEDICAUX CONSOMMABLES D'EPURATION DES MILIEUX BIOLOGIQUES
DB50EZ99;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;TRAITEMENT DU SANG;HEMOFILTRATION;HEMOFILTRATION AUTRE;HEMOFILTRATION AUTRE;DISPOSITIFS MEDICAUX CONSOMMABLES D'EPURATION DES MILIEUX BIOLOGIQUES
DB50FA01;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;TRAITEMENT DU SANG;PLASMAPHERESE;PLASMAPHERESE;PLASMAPHERESE;DISPOSITIFS MEDICAUX CONSOMMABLES D'EPURATION DES MILIEUX BIOLOGIQUES
DB50GA01;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;TRAITEMENT DU SANG;CYTAPHERESE;CYTAPHERESE;CYTAPHERESE;DISPOSITIFS MEDICAUX CONSOMMABLES D'EPURATION DES MILIEUX BIOLOGIQUES
DB50ZZ99;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;TRAITEMENT DU SANG;TRAITEMENT DU SANG AUTRE;TRAITEMENT DU SANG AUTRE;TRAITEMENT DU SANG AUTRE;DISPOSITIFS MEDICAUX CONSOMMABLES D'EPURATION DES MILIEUX BIOLOGIQUES
DB52AA01;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;SANG CIRCULATION SANGUINE PREVENTION;COMPRESSION VEINEUSE;BAS ANTITHROMBOSE;BAS ANTITHROMBOSE;OBJETS DE PANSEMENTS, DE CONTENTION ET TRAITEMENT DES PLAIES
DB52AB01;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;SANG CIRCULATION SANGUINE PREVENTION;COMPRESSION VEINEUSE;BAS COMPRESSION;BAS COMPRESSION;OBJETS DE PANSEMENTS, DE CONTENTION ET TRAITEMENT DES PLAIES
DB52AB02;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;SANG CIRCULATION SANGUINE PREVENTION;COMPRESSION VEINEUSE;BAS COMPRESSION;COLLANT COMPRESSION;OBJETS DE PANSEMENTS, DE CONTENTION ET TRAITEMENT DES PLAIES
DB52AC01;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;SANG CIRCULATION SANGUINE PREVENTION;COMPRESSION VEINEUSE;BANDE COMPRESSION;BANDE COMPRESSION;OBJETS DE PANSEMENTS, DE CONTENTION ET TRAITEMENT DES PLAIES
DB52AZ99;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;SANG CIRCULATION SANGUINE PREVENTION;COMPRESSION VEINEUSE;COMPRESSION VEINEUSE AUTRE;COMPRESSION VEINEUSE AUTRE;OBJETS DE PANSEMENTS, DE CONTENTION ET TRAITEMENT DES PLAIES
DB52BA01;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;SANG CIRCULATION SANGUINE PREVENTION;FILTRE;FILTRE ARTERIEL;FILTRE ARTERIEL;OBJETS DE PANSEMENTS, DE CONTENTION ET TRAITEMENT DES PLAIES
DB52BB01;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;SANG CIRCULATION SANGUINE PREVENTION;FILTRE;FILTRE VEINE CAVE;FILTRE VEINE CAVE;OBJETS DE PANSEMENTS, DE CONTENTION ET TRAITEMENT DES PLAIES
DB52ZZ99;DISPOSITIFS MEDICAUX;SANG CIRCULATION SANGUINE;SANG CIRCULATION SANGUINE PREVENTION;SANG CIRCULATION SANGUINE PREVENTION AUTRE;SANG CIRCULATION SANGUINE PREVENTION AUTRE;SANG CIRCULATION SANGUINE PREVENTION AUTRE;OBJETS DE PANSEMENTS, DE CONTENTION ET TRAITEMENT DES PLAIES
DC50AA01;DISPOSITIFS MEDICAUX;SYSTEME CARDIO-VASCULAIRE;PROTHESE SYSTEME CARDIO-VASCULAIRE;PROTHESE CARDIAQUE;VALVE CARDIAQUE;VALVE CARDIAQUE MECANIQUE;DISPOSITIFS MEDICAUX POUR CARDIOLOGIE
DC50AA02;DISPOSITIFS MEDICAUX;SYSTEME CARDIO-VASCULAIRE;PROTHESE SYSTEME CARDIO-VASCULAIRE;PROTHESE CARDIAQUE;VALVE CARDIAQUE;VALVE CARDIAQUE BIOLOGIQUE;DISPOSITIFS MEDICAUX POUR CARDIOLOGIE
DC50AA03;DISPOSITIFS MEDICAUX;SYSTEME CARDIO-VASCULAIRE;PROTHESE SYSTEME CARDIO-VASCULAIRE;PROTHESE CARDIAQUE;VALVE CARDIAQUE;VALVE CARDIAQUE HUMAINE (GREFFON);DISPOSITIFS MEDICAUX POUR CARDIOLOGIE
DC50AA99;DISPOSITIFS MEDICAUX;SYSTEME CARDIO-VASCULAIRE;PROTHESE SYSTEME CARDIO-VASCULAIRE;PROTHESE CARDIAQUE;VALVE CARDIAQUE;VALVE CARDIAQUE AUTRE;DISPOSITIFS MEDICAUX POUR CARDIOLOGIE
DC50AB01;DISPOSITIFS MEDICAUX;SYSTEME CARDIO-VASCULAIRE;PROTHESE SYSTEME CARDIO-VASCULAIRE;PROTHESE CARDIAQUE;TUBE VALVE;TUBE VALVE AVEC VALVE MECANIQUE;DISPOSITIFS MEDICAUX POUR CARDIOLOGIE
DC50AB02;DISPOSITIFS MEDICAUX;SYSTEME CARDIO-VASCULAIRE;PROTHESE SYSTEME CARDIO-VASCULAIRE;PROTHESE CARDIAQUE;TUBE VALVE;TUBE VALVE AVEC VALVE BIOLOGIQUE;DISPOSITIFS MEDICAUX POUR CARDIOLOGIE
DC50AF01;DISPOSITIFS MEDICAUX;SYSTEME CARDIO-VASCULAIRE;PROTHESE SYSTEME CARDIO-VASCULAIRE;PROTHESE CARDIAQUE;PATCH CARDIAQUE;PATCH CARDIOVASCULAIRE;DISPOSITIFS MEDICAUX POUR CARDIOLOGIE
DC50AF02;DISPOSITIFS MEDICAUX;SYSTEME CARDIO-VASCULAIRE;PROTHESE SYSTEME CARDIO-VASCULAIRE;PROTHESE CARDIAQUE;PATCH CARDIAQUE;PATCH VASCULAIRE;DISPOSITIFS MEDICAUX POUR CARDIOLOGIE
DC50AF99;DISPOSITIFS MEDICAUX;SYSTEME CARDIO-VASCULAIRE;PROTHESE SYSTEME CARDIO-VASCULAIRE;PROTHESE CARDIAQUE;PATCH CARDIAQUE;PATCH CARDIAQUE AUTRE;DISPOSITIFS MEDICAUX POUR CARDIOLOGIE
DC50AG01;DISPOSITIFS MEDICAUX;SYSTEME CARDIO-VASCULAIRE;PROTHESE SYSTEME CARDIO-VASCULAIRE;PROTHESE CARDIAQUE;ANNEAU VALVULAIRE ;ANNEAU VALVULAIRE MITRAL;DISPOSITIFS MEDICAUX POUR CARDIOLOGIE
